Year,COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),NITROGEN CONSUMPTION (tons),PHOSPHATE CONSUMPTION (tons),POTASH CONSUMPTION (tons),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha)
1990,0,0,0,337.21,0,10.8,37.55,,9.69,266.53,393.25,150.03,29492,7484,2605,39575,153.74
1990,5,5,3334,,0,16.99,38.74,3.21,11.48,225.42,340.44,155.3,28590,6195,1709,36488,168.78
1990,0,0,0,646.1,57.79,9.24,68.81,,16.96,470.18,724.01,155.76,45506,15627,3264,,141.82
1990,,0,0,538.72,2.42,13.27,66.68,2.33,12.42,429.53,667.68,,63205,20838,,89542,212.92
1990,0,0,0,731.71,10.21,11.66,82.07,2.64,18.05,577.1,888.42,157.04,50612,13022,2372,66001,117.56
1990,0,0,0,594.45,3.24,14.02,73.91,3.11,19.47,439,714.38,165,43407,13375,3074,59848,140.58
1990,0,0,0,256.12,14.41,14.71,26.65,5.38,16.53,156.78,209.02,136.5,18966,,1942,27243,179.3
1990,0,0,0,460.52,17.66,19.29,41.95,4.61,35.96,288.05,420.78,,17115,,1275,24509,87.97
1990,0,0,0,573.51,9.07,10.54,58.28,,16.64,418.58,547.56,133.65,31652,6793,711,39150,95.75
1990,0,0,0,603.12,10.78,21.56,45.95,9.06,30.95,395.48,580.98,148.77,26956,4959,442,32352,86.01
1990,0,0,0,771.06,,6.95,74.39,2.16,11.88,468.8,637.77,140,48846,12894,3748,65483,141.88
1990,,0,0,446.41,9.06,12.98,62.55,3.09,18.71,294.84,483.37,166.14,43111,13139,2245,58489,
1990,,0,0,737.06,75.34,9.33,78.14,3.74,24.75,503.28,777.59,156.02,28193,7798,1574,37561,75.78
1990,0,0,0,690.7,103.68,9.98,73.28,1.76,14.25,460.59,724,159.78,24479,6704,1437,32615,72.27
1990,0,0,0,442.18,4.81,18.48,51.72,6.26,29.94,288.18,436.32,153.83,,6784,1577,31254,112.97
1990,0,0,0,366.41,3.44,11.69,,2.84,18.68,219.98,339.47,158.11,19112,4597,876,24581,115.24
1990,0,0,0,451.6,12.48,15.51,58.27,6.15,30.02,287.12,472.59,167.05,32083,6280,2199,40556,144.23
1990,0,0,0,705.23,406.17,7.35,36.62,2.17,7.65,208.99,342.65,166.86,53908,15484,5100,74488,364.59
1990,0,,0,729.88,394.15,34.66,19.71,65.62,11.93,106.92,176.18,169.39,724,395,62,1174,15.07
1990,,,0,640.14,334.29,27.38,16.42,84.95,16.8,69.39,125.67,182.37,337,212,37,576,9.41
1990,0,0,0,841.7,521.36,165.15,19.01,23.73,3.61,48.37,76.52,158.39,173,150,30,351,8.53
1990,0,0,0,803.62,711.28,23.36,10.97,17.08,6.91,33.06,46.22,157.61,228,197,34,453,17.49
1990,0,0,0,575.54,399.2,12.98,12.79,4.79,11.23,75.1,121.78,167.74,340,227,41,603,12.32
1990,0,0,0,759.99,453.6,36.97,19.36,43.96,18.7,93.14,141.72,153.11,,172,41,582,7.35
1990,0,0,0,317.5,221.81,3.66,20.62,2.1,6.6,52.13,88.57,174.7,2871,1046,180,4089,85.55
1990,0,0,0,393.5,5.2,3.2,130.15,,0,291.2,657.6,229.27,28981,13897,9636,52511,186.83
1990,0,0,0,535.5,4,2.72,108.78,0,6,408.57,,187.55,29258,15113,10779,55144,140.3
1990,0,0,0,0,452.07,0,0,0,0,462.25,743.9,,50123,23216,12458,85794,189.4
1990,0,0,0,0,0,0,0,0,0,346.39,499.2,146.21,30177,,9757,54414,159.45
1990,0,0,0,0,0,0,0,0,0,392.22,544.6,139.69,18895,,5756,34551,90.31
1990,0,0,0,0,0,0,0,0,,222.8,452.8,204.25,44705,20619,11281,76602,349.36
1990,0,0,0,0,0,0,0,0,0,87.81,174.5,206.4,21190,11911,8529,41631,494.83
1990,0,,0,0,0,0,0,0,0,342.33,467.6,139.41,10970,7591,5160,,71.46
1990,0,0,0,0,0,0,0,0,0,140.56,173.4,128.33,7155,4594,3403,15150,111.1
1990,0,0,0,0,0,,0,0,0,258.55,490.1,195.14,24136,11316,8795,44242,176.8
1990,0,0,0,0,0,0,0,0,0,251.49,456.9,185.81,17416,9575,6001,32986,134.27
1990,0,0,0,0,0,0,0,0,0,337.89,361.7,107.18,14192,8095,5299,27581,82.86
1991,0,0,0,902.31,127.36,104.08,115.34,8.82,14.21,493.84,649.38,133.96,36705,9105,2574,48377,101.76
1991,7,4,6672,1452.3,537.76,,127.13,9.77,30.33,498.88,630.61,130.23,28707,6415,2052,37171,77.1
1991,39,197,5393,1083.84,326.24,86.49,116.82,32.71,33,432.62,692.36,163.32,67512,19977,10867,98354,230.39
1991,123,70,5414,781.54,85.19,50.32,105.37,24.05,37.23,442.4,608.93,138.05,102953,40660,16302,159907,365.27
1991,,529,5381,,67.4,65.21,121.46,20.8,33.88,504.08,753.51,149.98,90679,41339,14144,146159,294.52
1991,1675,929,5554,1924.29,366.56,111.63,,61.88,80.29,888.8,1177.39,135.51,,60398,17477,196717,224.58
1991,8197,1917,2344,2036.28,390.05,128.7,127.68,16.53,159.29,997.66,1116.15,116.23,51552,34928,10060,,
1991,487,117,2332,1540.84,506.5,246.82,,22.56,117.88,409.7,456.86,113.35,30608,20216,5221,56043,139.79
1991,0,0,0,1499.77,457.36,166.95,141.05,41.68,112.86,499.31,541.97,112.81,24868,13456,4498,42816,88.44
1991,2,,0,785.2,0,32.8,149.4,4.3,6,524.9,769.2,151.28,0,0,0,0,0
1991,0,0,0,871,0,11.9,199.2,5.6,14.3,570.3,820.9,148.02,0,0,0,0,0
1991,,0,0,404.2,,37.9,81.1,6.6,19.2,247.5,379.9,158.37,0,0,0,0,0
1991,0,,0,1068,7.1,54.2,175,5.1,28.4,670,1001,153.15,0,0,0,0,0
1991,6,3,5001,696.1,0,34.6,63.6,2.9,13.2,535.1,815.5,154.79,0,0,0,0,0
1991,5,3,6671,552.1,5.7,16.7,107.7,3.8,4.8,383.6,547.6,143.6,0,0,0,0,0
1991,0,0,0,973.7,135.8,85.6,141.6,4.3,43,478,610,129.46,0,,0,0,0
1991,3,0,0,560.9,47.4,67.8,97.2,4.4,21.2,272.9,320.2,119.4,0,0,0,0,0
1991,6,5,2002,1232.2,156.8,62.9,160.7,7.3,27.8,665.3,756.1,116.88,0,0,0,0,0
1991,0,0,0,1981,492.5,,145.6,144.3,49.3,1043.1,1356.1,133.41,19741,14506,5282,39524,42.03
1991,0,0,0,3907,2413.7,128,93.4,156.3,45,865.5,897.7,106.38,3020,1249,339,4604,9.32
1991,0,0,0,2260.1,907.8,24.8,,147.3,38.9,,1174.9,127.74,27330,15608,6354,49285,54.5
1991,0,0,0,1300.5,388,122.4,73,104.8,30.9,547.1,583.6,107.5,11334,4615,1445,17392,34.84
1991,5,0,0,2202.5,1116,22.6,112.7,218.3,45.2,594.1,,115.43,4472,,649,8526,15.42
1991,1468,1995,1363,891.77,12.5,72.88,78.95,37.51,7.9,568.83,621.15,109.86,32744,8254,4042,45035,82.31
1991,303,,1962,674,41.2,18.3,40.3,48,3.7,498.1,523.2,106.05,13715,12838,1315,27860,60.04
1991,192,278,1461,1233.7,151.4,38.3,71.8,72.6,0,816,1072,135.49,30264,13551,744,44551,57.8
1991,732,1373,1883,,146,22.3,103.1,26.3,,421.9,424.1,103.76,13713,6470,3176,23355,59.61
1991,964,180,1861,981.9,33.3,102.9,73.2,72.4,8.9,634.7,702.3,113.37,23877,18410,1737,44019,71.57
1991,0,0,0,518.5,127.9,19.8,38.6,9.8,0,311.2,340.4,111.16,16422,9694,5731,31841,105.64
1991,0,,0,228.9,170.7,0,4.7,0,0,57.7,57.9,102.36,13,9,0,16,2.23
1991,223,654,2983,,42.1,,67.8,79.4,4.2,557,585,107.86,9432,9716,1821,20966,41.71
1991,317,1242,3951,1059,202.3,35,56,115.4,1.1,575,634.2,111.51,24243,20992,4418,49646,87.64
1991,154,335,2181,691.1,10.8,35.7,89.4,28.5,5.9,513.9,626.7,125.8,64802,10516,4209,79524,156.04
1991,487,686,1414,4568.2,288,1712.2,76,74.1,9,506.9,553.7,111.66,10703,5221,579,16495,33.6
1991,896,1757,1961,930.33,19.6,,72.05,57.69,1.4,693.27,901.05,133.2,42910,13665,1798,58368,88.43
1991,152,151,1003,887,225.2,39.8,61.1,31.5,1.9,479.1,578.7,124.92,17953,7322,308,25582,55.72
1991,906,2588,2864,,35.1,113.6,71.7,90.8,1.4,727.7,774.5,107.88,27296,22646,,54791,78.71
1991,186,365,1962,733.8,128.4,37.1,41.9,35.3,3.7,436.6,525.3,122.95,32674,15936,3941,52542,124.89
1991,66,227,3612,778.3,143.8,,85.8,26.2,0,419.6,454.1,109.24,45637,23632,17975,87239,212.4
1991,3234,3582,1111,1048.9,,130.9,56.2,49,11.1,622.7,,109.02,12990,8903,445,22333,37.92
1991,,11512,4743,1435.13,23.39,30.49,56.07,0,0,1163.37,1864.75,163.62,133434,49933,717,184077,160.63
1991,0,0,0,485,23,16,71,6,0,336,504,152.15,25304,11150,92,36539,113.72
1991,442,1517,3453,323.02,10.26,18,5.7,1.36,0,,470.7,171.64,41913,13163,186,55258,202.41
1991,7,0,0,387,71,12,21,6,0,270,414,154.42,46882,13374,1233,61484,230.56
1991,10,19,2432,727.98,23.74,8,73.3,14.64,0,612.3,1101.3,180.8,157009,42951,2412,202366,334.58
1991,81,21,2131,597.15,19.52,12.65,27.08,4,0,497.38,676.18,138.24,39719,16794,417,56926,118.38
1991,6,5,5001,120.7,15.67,10.16,14.68,43.35,1.92,33.51,62.04,191.54,,172,99,2162,70.49
1991,0,0,0,654.8,272.61,6.84,12.8,,2.32,45.48,65.13,155.6,468,67,49,,14.81
1991,6,3,4003,840.7,274,99.01,119.46,56.12,17.12,202.83,364.02,182.16,10720,2100,1039,13855,72.32
1991,0,0,0,644.1,23.26,34.62,12.47,174.35,3.33,10.24,12.71,123.3,51,34,25,103,16.09
1991,0,0,0,52.1,0,7.62,3.64,4.01,0,37.54,67.03,177.23,983,460,490,1929,53.74
1991,0,0,0,915.16,113.05,544.57,,97.3,2.01,7.15,4.36,109.67,127,112,73,309,101.14
1991,7,0,0,194.6,24.2,13.58,13.67,83.98,3.75,41.71,70.25,168.19,2051,437,159,2645,68.87
1991,0,0,0,398,171.68,13.69,16.12,102.93,2.22,96.55,165.24,175.89,3666,654,638,4953,54.79
1991,0,0,0,516.1,109.99,18.15,14.64,194.44,4.41,79.3,110.38,144.6,1887,1473,1526,4880,65.77
1991,3,0,0,226.75,52.25,10.76,10.77,64.88,2.06,44.81,81.73,187.24,1804,367,171,2336,56.54
1991,0,0,0,1800.1,,144.9,120.9,31.2,168.8,320,344.8,109.8,0,0,0,0,0
1991,0,,0,299.6,26.4,44.8,80.4,4.2,34.6,60.7,60.5,103.41,0,0,,0,0
1991,0,0,0,1276.7,557,84.6,54.6,7.2,133,217.5,235.7,110.95,0,0,0,0,0
1991,0,0,0,1825.4,343.6,110.4,122.1,5.2,239.1,,630.2,110.95,0,0,0,0,0
1991,11,6,4443,783.47,74.32,66.17,75.81,118.76,11.3,391.11,425.66,111.44,20994,12202,4900,38091,100.39
1991,49,17,3331,1067.76,47.98,68.54,83.89,106.98,37.52,589.35,636.15,109.97,16117,10635,4035,30782,55.4
1991,4276,991,2313,1250.28,341.46,67.92,87.8,92.89,31.64,543.42,646.48,120.48,27252,14074,12680,54001,104.1
1991,5,3,3334,502.24,27.77,23.68,62.61,45.29,17.9,279.08,331.94,122.29,30865,10788,7114,,179.35
1991,58,132,2433,663.6,58.03,33.57,74.63,55.08,33.42,373.8,428.36,117.14,21093,13878,10145,45109,122.32
1991,4070,829,2033,1060.55,331.43,22.28,99.39,186.43,36.03,330.22,387.69,120.62,20753,14455,9385,44587,137.67
1991,212,55,2463,724.08,203.49,31.32,43.04,106.78,16.12,288.11,326.32,117.7,15489,11268,8750,35503,127.09
1991,3189,,4234,1018.51,94.83,,60.95,120.02,34.32,595.99,722.46,122.95,26588,21010,8402,55996,95.27
1991,,2808,3252,957.22,123.25,62.72,82.72,9.08,5.7,608.77,708.8,120.32,46767,34757,22987,104506,173.23
1991,19766,,2241,1380.2,117.3,25.46,63.62,19.69,13.05,1105.78,1381.94,127.04,33661,,18832,83746,77.94
1991,775,3049,3953,1345.38,193.42,,71.27,26.02,8.77,928.74,1039.94,116.35,37980,20328,7810,66115,
1991,377,53,1362,543.77,27.09,25.54,20.5,17.28,40.72,351.07,406.63,119.58,6337,4857,623,11813,38.03
1991,6865,1940,2821,1389.34,50.62,40.71,62.43,34.35,63.74,,1094.61,121.62,60848,30992,16141,107976,119.34
1991,0,0,0,836.6,230.75,75.07,89.79,35.65,24.6,223.92,298.2,136.14,8539,,11391,25127,117.24
1991,747,66,854,1026.68,833.61,24.07,19.39,23.47,9.14,116.47,131.55,118.19,3292,1991,2731,8008,73.19
1991,0,0,0,138.06,0,4.29,,4.01,5.44,106.24,168.99,159.73,4192,2310,4434,10930,107.84
1991,0,0,0,571.67,83.06,21.49,43.74,1.51,4.84,385.57,469.24,126.07,7185,5481,9209,21869,58.01
1991,0,0,0,341.31,62.3,7.23,41.78,1.22,4.23,223.04,291.72,132.76,9786,5983,10029,25794,118.2
1991,0,0,0,633.52,220.87,14.53,36.4,1.57,6.84,336.57,401.74,123.2,15274,9825,21612,46706,144.44
1991,0,0,0,375.15,94.48,3.55,27.72,2.12,5,241.03,329.36,139.53,6763,,13625,25565,109.39
1991,0,,0,367.23,104.42,5.96,25.89,4.14,6.35,211.85,271.97,129.79,5194,3337,586,9112,44.62
1991,1193,330,27434,440.98,138.26,10.49,34.87,3.09,6.19,220.23,347.37,160.07,12232,5924,8920,27069,128.61
1991,0,0,0,522.59,240.65,4.14,36.9,,5.15,246.92,347.83,144.36,,5933,6556,21377,89.99
1991,0,0,0,302.39,105.62,5.38,30.53,4.07,4.11,156.77,212.65,140.75,7232,3930,7886,19043,127.02
1991,0,0,0,222.6,52.86,4.09,22.76,3.03,4.58,,204.26,143.72,4782,3235,3868,11878,
1991,0,0,0,1015.5,155.6,89.1,60.3,98.2,51.5,445.4,526.6,119.13,11361,7322,487,19164,47.32
1991,0,0,0,926.5,499.8,7.5,47.9,50.1,18.3,278.2,350.1,127.95,7140,3555,634,11324,43.29
1991,,205,2063,1186.9,449.3,48.9,57.7,60,33.5,,541.2,115.74,9891,3947,758,14588,34.55
1991,0,0,0,514.6,139.3,2,25.7,33.2,9.7,292.2,357.7,123.46,7499,6742,406,14646,51.28
1991,0,0,0,1329.2,574.7,60.5,69.9,40.4,63.7,,499.5,122.52,2265,668,76,3004,11.14
1991,0,0,0,1025.5,291.9,19,48.6,,,519.1,588.8,117.29,7422,8104,330,15850,31.65
1991,0,0,0,730.6,269.1,57.6,33.7,42.1,12.8,283.7,320.5,113.31,2574,2643,65,5278,21.66
1991,0,0,0,505,69.5,53.4,38.3,52.4,20.1,245.4,344,143.12,9883,6315,398,16592,70.88
1991,,0,0,867.1,88,107.7,49.5,92.7,50.4,351.7,412,118.92,5512,3708,362,9580,28.54
1991,0,0,0,703.9,281.6,43.1,42.8,16.2,20.2,224.9,246.2,113,2220,2081,171,4470,22.22
1991,0,0,0,,68,44,,39.5,30.2,356,441.6,128.32,15245,8190,123,23554,70.91
1991,5,0,0,1041.2,448.3,60.9,61.9,0,33.3,339.1,419.5,,2372,1720,43,4130,13.25
1991,0,,0,746.4,135.9,84.7,60.9,24.1,18.8,352.7,426.3,122.76,10162,7621,101,17880,54.12
1991,0,0,0,,552.6,,90,43.5,75.8,445.5,498.3,113.88,1943,,64,3623,
1991,0,,0,523.9,,55.1,37.6,23.7,23.4,258.5,274.4,106.83,11244,5762,405,17408,72.12
1991,3,0,0,,311.9,49.4,58.4,56.4,13.2,395,459.4,117.17,4326,3369,260,7950,24.27
1991,0,0,0,1102.2,152.9,103.3,61.8,60.6,7.2,622.6,670.5,110.72,5005,4181,79,9260,16.92
1991,0,0,0,207.5,25.3,6.1,20.3,9.9,5.4,128.4,136.3,104.85,3153,1639,100,4885,40.33
1991,0,0,0,1170.3,336.3,209.2,,68.3,6.9,414.6,463.7,115.39,26824,,884,34360,
1991,,0,0,447.2,12.5,29.6,34.5,27.8,8.8,337.4,356.4,110.6,10860,4131,393,15376,48.11
1991,2,3,1001,385.1,56.2,5.9,31.6,32.5,6.4,259.9,369.4,143.14,19558,15221,1032,35803,140.28
1991,2329,184,784,490.5,35.5,46.7,,37.1,4.7,319.5,408.1,130.91,15076,9766,1138,25977,84.81
1991,60,6,694,611.7,7.3,9.4,40.3,73.9,3.8,474.5,630.5,135.58,16422,14815,966,32199,71.43
1991,126,,654,948.4,109.5,96.8,107.9,55.6,4.6,540.7,755.7,143.91,20318,16992,1576,38879,76.17
1991,4811,540,1124,701.3,207.1,17,34,81.7,6.9,364.6,,125.69,15694,8138,482,24314,
1991,7707,623,804,823.5,136.4,53.3,50.2,55.6,8.4,505.8,601.3,121.03,27274,15780,2464,45515,93.7
1991,2099,108,511,677.7,120.7,77.2,51.7,43,5.9,359.2,398.5,111.41,7314,1890,235,9433,27.33
1991,,38,514,929.1,213.1,15.7,61.9,89.1,10.4,531.4,666.4,128.79,12397,11851,669,24910,49.23
1991,,0,0,852.7,335.4,6.5,39,30.3,6.7,424.1,503,123.5,9395,8526,294,18209,45.33
1991,,0,0,731.2,108.3,12,39.6,41.2,33,525.5,569.4,111.8,6408,8090,168,14663,32.11
1991,97,7,422,1011.8,396.9,26.5,47.2,29.5,34,408,477.5,119.36,7440,3774,826,12034,32.63
1991,,12,414,614.7,15.6,31.1,39.7,87.8,7.6,412,505,125.23,9067,7054,164,16282,41.8
1991,113,12,734,620.8,,48.9,47,65.3,13.3,435.1,568.9,133.27,11844,11036,424,23298,56.04
1991,2896,354,1224,1001.3,362.7,37,36.8,52.3,18,458.7,639.3,141.07,22155,18611,1846,42609,96.49
1991,0,0,0,935.7,370.4,83.5,62.7,89,11.7,270.7,,108.75,9778,2226,2730,14727,
1991,0,0,0,,43.9,334,37.7,16.5,201.1,344.9,373.7,110.13,9302,2935,2427,14657,45.86
1991,9,16,1713,1565.4,340.3,,18.3,26.7,29.9,900.7,972.2,108.84,33688,19254,7107,60042,68.81
1991,736,,874,1441,555,58.2,21.6,51.8,17.2,735,775,107.45,27234,12097,7079,46403,66.22
1991,2041,1898,934,1166.9,169.5,81.8,14.8,59.8,6.1,828,1006.2,125.45,65145,25553,23230,113921,138.92
1991,15,17,1361,1706,,140.1,15.5,40.9,,1056.7,1239.8,119.06,61296,28411,15338,105038,100.5
1991,,6,3002,1566,180.3,,51.5,80.9,28.3,,1185.6,118.56,42234,17633,11950,71809,74.72
1991,13,40,3904,1062.2,148.1,120.7,29.1,78.8,48.6,583.9,699.4,,35776,16913,10416,63102,111.43
1991,23,60,2951,862,53.2,47.3,48.6,21.2,52.4,591.2,632.2,110.97,43520,19773,18187,81473,140.51
1991,38,65,1694,1488.8,38.1,64.4,8.7,84.3,93.5,1108.6,1161.1,107.84,37079,16995,10971,65042,59.88
1991,2,,2004,780.3,152.2,46.2,36.1,44.9,29.9,,435.7,108.26,57404,24946,24082,106425,266.82
1991,2804,1553,552,1100.2,38.9,18.8,33.1,35.6,56.7,840.6,1226.5,148.84,23110,8543,3646,35293,44.03
1991,337,267,794,1117.9,27.4,29.3,,41.8,,806.1,900.7,,13360,6637,2646,,29.15
1991,2643,1269,484,1035.1,90.4,14.1,35.8,67.5,13.7,734.7,790.4,111.32,37994,17865,10925,66778,92.01
1991,0,0,0,1418.9,7.3,24.5,30.2,47.3,83.7,1045.2,1324.7,130.04,26737,14676,5092,46501,47.66
1991,2579,1221,473,970.1,118.8,27.4,48.8,46.6,25.8,687.2,790.2,117.03,22047,10701,3078,,56.28
1991,3594,1974,551,1057,73.6,23.6,52.1,63.1,16.2,809.4,981.9,125.39,21915,13126,4493,39527,52.02
1991,3612,2934,811,1222.7,332.8,20.9,44.5,64.6,15.5,722.8,865.5,120.52,20544,13219,5030,38790,57.81
1991,4164,2869,693,1353.9,266.4,42.2,44.3,64.4,31.5,852.7,906.9,107.5,23500,10808,6480,40784,48.99
1991,1558,2016,1302,629.9,,10,45,41.8,18,387.7,399.4,105.51,15261,7045,3752,26054,71.54
1991,600,695,1163,,198.5,17.1,70.4,107.5,20.9,549.8,583.2,106.54,17340,14056,3726,35116,66.98
1991,0,0,0,930.9,268.8,18.6,95.9,139,12.3,360.8,444.5,126.98,14497,5524,1847,,64.75
1991,640,616,964,2586.4,1499.4,45.4,130.9,142.2,22.3,655.9,,112.75,15529,5564,2316,23401,39.73
1991,0,0,0,634.1,31,28,53,29,12,460,733,161.26,17148,5854,4721,27718,62.38
1991,89,18,1721,893.3,146,36,41,60,24,471,664,145.36,5199,2151,1178,8525,21.17
1991,0,0,0,1118.2,183,12,103,39,15,682,1235,,16744,4293,4651,25681,40.76
1991,5,,0,1084.7,492,11,51,46,10,459,,151.91,4695,1498,1097,7284,17
1991,10,13,1834,1256.1,606,8,61,40,6,484,922,195.67,20486,4057,1762,26302,57.79
1991,305,70,2212,1179.2,506,5,33,28,8,565,834,149.48,4125,1815,1200,7131,16.71
1991,0,0,0,833.3,250,29,37,41,0,308,,140.48,2007,1213,467,,14.99
1991,113,5,1834,2700.1,891,207,165,163,71,764,1266,168.05,7621,2171,1649,11437,19.05
1991,0,0,0,1042.8,488,19,42,33,,434,569,132.25,4883,1995,1035,7903,19.29
1991,2,0,0,1019.2,330,44,71,69,13,455,789,175.06,14272,2229,3553,20048,47.45
1991,0,0,0,1754.6,623,58,70,97,6,687,961,142.12,25272,12636,5677,43578,67.8
1991,4,0,0,973.2,40,12,31,76,18,332,429,130.7,2494,1267,986,4739,16.31
1991,3,0,0,359,14,13,42,0,0,290,470,167.07,65462,22400,253,88109,309
1991,15,30,2073,510,16,5,,0,0,438,782,182.03,105154,27483,1272,133904,310.41
1991,0,0,0,165,3,4,7,2,6,145,254,181.3,33998,12593,1190,47777,342.82
1991,7,2,2003,342,6,13,8,0,0,312,525,172.06,63242,25032,3162,91432,296.94
1991,8,16,3253,389,,9,28,3,0,,390,148.04,32433,9714,1474,43618,165.59
1991,34,87,2741,389,11,0,46,0,0,326,609,190.08,105580,35960,3903,,450.49
1991,1597,8068,5063,1015.76,18.14,0,64.64,0,11,880.22,1620.92,185.55,184276,70413,2672,257354,295.37
1991,2637,1664,6313,708.24,15.86,4,57.36,0,4,613.78,1075.08,175.79,112536,39844,799,153170,253.96
1991,499,2051,4133,515,6,3,37,,3,462,,197.46,,32068,1162,132887,293.51
1991,26,77,3451,462,14,11,45,0,0,393,734,189.21,,29666,1258,133612,342.72
1991,925,93,963,846.39,47.99,103.14,48.79,82.14,55.93,397.39,463.18,120.72,4536,3175,261,7967,
1991,86,28,2981,769.53,41.97,108.15,44.45,26.9,15.46,503.16,703.58,141.71,12157,5266,550,17966,36.78
1991,868,94,1054,507.51,104.64,84.47,10.28,30.74,32.18,226.34,315.3,140.83,9850,3534,260,13640,62.06
1991,8,3,2864,2819.33,25.65,126.49,75.26,211.68,364.3,1387.77,1423.58,103.58,648,172,23,839,
1991,3,3,5001,808.97,44.54,97.61,46.84,29.69,26.13,533.22,656.63,124.23,17616,6858,230,24699,50.49
1991,2111,308,1463,1041.43,63.89,164.49,59.63,122.73,58.96,,485.52,140.07,10465,9041,350,19850,58.74
1991,1071,468,4343,2744.75,68.49,35.44,243.22,60.15,300.98,698.81,741.36,110.12,38706,10772,452,49926,
1991,0,0,0,584.04,140.8,57.65,38.96,25.52,27.21,246.72,307.63,130.33,,6283,744,19472,83.22
1991,134,36,2651,,153.34,145.98,44.48,81.28,27.65,380.72,554.31,148.31,21894,16200,989,39078,106.17
1991,0,,0,1690.19,9.66,3.74,74.14,50.83,86.58,1331.56,1345.25,105.03,259,167,26,449,3.34
1991,12,4,2502,386.59,62.49,80.86,17.04,41.71,27.42,128.34,160.96,129.62,1474,801,37,2303,21.07
1991,3960,12658,3202,2066.22,64.66,11.21,122.83,12.95,154.34,1375.55,,126.14,46514,14833,655,61995,49.2
1991,8,5,2502,1401.87,79.73,95.32,87.77,107.23,66.83,837.34,1078.43,,16686,7246,527,24457,30.35
1991,0,0,0,3843.14,23.2,365.01,86.6,109.59,95.29,212.16,211.53,,0,0,0,,0
1991,188,59,3033,1060.4,,90.66,37.58,47.06,101.11,639.53,773.81,123.1,4379,1642,82,6093,12.57
1991,19,9,472,634.24,117.91,42.95,26.22,53.96,22.33,300.05,397.96,136.51,5548,3833,47,9423,33.6
1991,2,0,0,592.68,40.95,20.28,23.21,44.8,22.42,431.52,520.13,121.12,3892,584,70,4538,11.54
1991,190,55,2702,2260.41,8.63,148.58,77.04,126.69,361.02,1137.11,1168.63,106.05,4749,,1220,8736,9.71
1991,0,0,0,1225.84,329.53,92.4,53.48,53.88,41.81,569.76,678.26,123.71,23680,14717,741,39132,71.16
1991,38,150,4322,1767.53,14.26,63.73,86.57,75.6,63.69,1254.24,1318.99,109.25,5838,4193,,10215,10.16
1991,1054,287,2694,1236.08,83,150.66,59.31,92.21,105.57,618.35,683.82,114.82,6966,5029,178,,22.8
1991,0,0,0,1056.42,242.39,112.94,55.75,60.84,24.22,502.25,616.97,126.93,17690,8960,162,26805,57.58
1991,4,2,3334,775.95,60.56,,32.43,44.67,45.67,522.44,624.36,121.43,3446,1084,80,4604,
1991,370,113,3044,519.95,152.47,82.22,28.04,34.44,,158.63,196.94,126.4,3176,1198,48,4423,
1991,18,7,2864,722.14,24.73,35.58,39.48,63.26,18.81,464.62,515.38,115.45,3826,3215,152,7191,18.61
1991,17,5,2863,1922.89,400.87,479.81,182.96,156.75,70.02,347.9,495.62,146.25,8100,4017,81,,38.44
1991,199,,2012,1827.39,539.28,115.39,122.07,,40.52,862.83,1152.7,137.83,33898,14805,19816,68515,83.68
1991,1655,679,4094,1210.47,186.9,21.71,209.7,8.08,59.25,468.19,523.34,112.88,40696,14363,26695,81749,177.11
1991,60,266,4553,1088.82,89.84,37.29,182.05,7.79,71.75,619.8,888.69,145.43,68727,25425,38888,133040,216.69
1991,3253,88,2623,1305.35,300.57,75.31,138.27,11.51,97.64,553.07,600.77,110.67,39082,15836,29942,84854,
1991,392,91,2241,1261.08,61.54,17.62,257.58,5.04,212.66,514.89,519.48,103.09,29913,9665,11574,51147,104.11
1991,2002,530,2632,1141.68,134.06,48.13,166.91,16.9,225.85,365.57,430.66,121.35,29506,10941,15336,55783,156.42
1991,0,0,0,255.38,146.36,5.71,12.75,7.72,11.72,73.35,75.66,102.86,4429,1110,2964,8497,124.77
1991,0,0,0,168.18,53.37,4.34,26.06,2.1,5.83,90.11,111.82,129.53,7775,3361,5081,,190.25
1991,0,0,0,26,0,3.5,24.46,,3.43,0,0,0,31222,16148,3151,50515,164.2
1991,1209,233,19158,808.22,185.77,47.08,76.78,33.43,53.46,279.37,332.27,122.94,51460,19924,2973,74354,272.01
1991,663,129,19188,952.9,98.09,60.83,64.68,46.39,56.54,400.77,447.73,114.84,23134,10988,1837,35955,91.61
1991,2816,726,25766,1848.24,304.2,31.69,75.03,32.95,92.1,938.52,1007.82,110.42,39957,26068,5680,71696,80.72
1991,2153,415,19147,1423.32,89.83,92.36,115.17,94.28,106.47,576.13,695.94,124.31,40434,22637,4316,67386,120.16
